country,code,life_exp,gni_pc,u5_mort,co2_pc
Afghanistan,AFG,60.93,570,101.00,0.20
Albania,ALB,77.54,4090,14.00,1.00
Algeria,DZA,71.01,4110,30.00,3.30
Angola,AGO,51.87,4580,158.00,1.40
Argentina,ARG,76.19,11770,14.00,4.40
Armenia,ARM,74.54,3720,18.00,1.50
Australia,AUS,82.20,59570,5.00,18.40
Austria,AUT,80.89,48160,4.00,7.40
Azerbaijan,AZE,70.69,6050,45.00,5.50
Bangladesh,BGD,70.69,840,46.00,0.30
Belarus,BLR,72.47,6530,6.00,6.30
Belgium,BEL,80.39,44990,4.00,9.60
Benin,BEN,59.29,750,106.00,0.50
Bolivia,BOL,67.22,2220,51.00,1.40
Bosnia and Herzegovina,BIH,76.28,4650,8.00,7.80
Brazil,BRA,73.89,11630,16.00,1.90
Bulgaria,BGR,74.47,6870,12.00,5.60
Burkina Faso,BFA,56.28,670,146.00,0.10
Burundi,BDI,54.10,240,139.00,0.00
Cambodia,KHM,71.75,880,43.00,0.30
Cameroon,CMR,55.04,1170,127.00,0.30
Canada,CAN,81.40,50970,6.00,15.20
Central African Republic,CAF,50.14,490,164.00,0.10
Chad,TCD,51.16,740,169.00,0.00
Chile,CHL,79.84,14280,9.00,3.90
China,CHN,75.35,5740,15.00,5.80
Colombia,COL,73.98,6990,18.00,1.60
"Congo, Dem. Rep.",COD,49.94,220,168.00,0.00
"Congo, Rep.",COG,58.77,2550,99.00,0.50
Costa Rica,CRI,79.92,8740,10.00,1.80
Cote d'Ivoire,CIV,50.76,1220,115.00,0.40
Croatia,HRV,77.13,13290,5.00,4.90
Czech Republic,CZE,78.28,18130,4.00,10.30
Denmark,DNK,80.30,59770,4.00,8.30
Dominican Republic,DOM,73.45,5470,25.00,2.10
Ecuador,ECU,76.47,5190,23.00,2.00
"Egypt, Arab Rep.",EGY,71.13,3000,21.00,2.80
El Salvador,SLV,72.34,3580,15.00,1.00
Eritrea,ERI,62.75,450,68.00,0.10
Ethiopia,ETH,63.62,410,77.00,0.10
Finland,FIN,80.83,46940,3.00,10.00
France,FRA,81.97,41750,4.00,5.60
Georgia,GEO,74.08,3280,21.00,1.30
Germany,DEU,81.04,44010,4.00,9.00
Ghana,GHA,61.10,1550,78.00,0.30
Greece,GRC,80.63,23260,4.00,8.40
Guatemala,GTM,71.99,3120,30.00,1.10
Guinea,GIN,56.09,460,126.00,0.10
Haiti,HTI,63.06,760,70.00,0.20
Honduras,HND,73.80,2070,21.00,1.00
"Hong Kong SAR, China",HKG,83.83,36560,,5.30
Hungary,HUN,75.27,12390,6.00,4.90
India,IND,66.46,1530,61.00,1.70
Indonesia,IDN,70.82,3420,32.00,1.90
"Iran, Islamic Rep.",IRN,74.07,7310,25.00,8.20
Iraq,IRQ,69.47,5870,38.00,3.60
Ireland,IRL,81.04,38970,4.00,9.30
Israel,ISR,82.06,28930,4.00,9.00
Italy,ITA,82.29,33840,4.00,6.70
Japan,JPN,83.33,47870,3.00,8.60
Jordan,JOR,73.90,4720,21.00,3.80
Kazakhstan,KAZ,70.45,9730,28.00,14.00
Kenya,KEN,61.68,840,73.00,0.30
"Korea, Rep.",KOR,81.46,22670,5.00,10.40
Kyrgyz Republic,KGZ,70.20,990,31.00,1.20
Lao PDR,LAO,68.25,1260,42.00,0.30
Lebanon,LBN,80.13,9190,9.00,4.90
Liberia,LBR,60.53,370,78.00,0.10
Libya,LBY,75.36,13310,16.00,10.50
Lithuania,LTU,74.16,13850,6.00,3.80
Low & middle income,LMY,68.93,3813,56.00,2.90
Low income,LIC,59.20,584,95.00,0.30
Lower middle income,LMC,66.60,1877,62.00,1.60
Madagascar,MDG,64.69,430,62.00,0.10
Malawi,MWI,55.23,320,83.00,0.10
Malaysia,MYS,75.02,9800,7.00,7.10
